source_ID,source_value,month,year,lat,long,elev
CR9-A23-SF-1,-30.80372728,8,2023,45.6030167,-78.3355917,
CR9-A23-SF-2,-29.59013703,8,2023,45.6030167,-78.3355917,
CR9-A23-SF-3,-29.03282794,8,2023,45.6030167,-78.3355917,
CR9-A23-SF-4,-30.389659,8,2023,45.6030167,-78.3355917,
CR9-A23-SF-4,-31.07484151,8,2023,45.6030167,-78.3355917,
CR9-A23-SF-5,-29.93241202,8,2023,45.6030167,-78.3355917,
CR9-A23-SP-1,-30.35839162,8,2023,45.6030167,-78.3355917,
CR9-M23-MUSS-1,-29.97243021,5,2023,45.6030167,-78.3355917,
CR9-M23-MUSS-2,-30.09396288,5,2023,45.6030167,-78.3355917,
CR9-M23-MUSS-3,-30.42653467,5,2023,45.6030167,-78.3355917,
CR9-M23-MUSS-4,-30.6757606,5,2023,45.6030167,-78.3355917,
CR9-M23-SF-P,-32.058164,5,2023,45.6030167,-78.3355917,
CR5-023-MF-1,-31.01501099,10,2023,45.6171198,-78.3440417,
CR5-023-MF-2,-32.90812985,10,2023,45.6171198,-78.3440417,
CR5-023-MF-3,-32.57037916,10,2023,45.6171198,-78.3440417,
CR5-023-MF-4,-32.23372748,10,2023,45.6171198,-78.3440417,
CR5-023-MF-5,-35.36117829,10,2023,45.6171198,-78.3440417,
CR5-023-MUSS-1,-28.15189776,10,2023,45.6171198,-78.3440417,
CR5-023-MUSS-2,-30.96741121,10,2023,45.6171198,-78.3440417,
CR5-023-MUSS-3,-31.03831821,10,2023,45.6171198,-78.3440417,
CR5-A23-MF-1,-34.570292,8,2023,45.6171198,-78.3440417,
CR5-A23-MF-1,-34.79507252,8,2023,45.6171198,-78.3440417,
CR5-A23-MF-POOL,-34.648709,8,2023,45.6171198,-78.3440417,
CR5-A23-MF-POOL,-34.93872865,8,2023,45.6171198,-78.3440417,
CR5-A23-ODO-8,-29.78486257,8,2023,45.6171198,-78.3440417,
CR5-M23-MF-1,-30.03985265,5,2023,45.6171198,-78.3440417,
CR5-M23-MF-100,-30.21383643,5,2023,45.6171198,-78.3440417,
CR5-M23-MUSS-1,-30.46252929,5,2023,45.6171198,-78.3440417,
CR5-M23-MUSS-10,-30.37294673,5,2023,45.6171198,-78.3440417,
CR5-M23-MUSS-2,-31.30715911,5,2023,45.6171198,-78.3440417,
CR5-M23-MUSS-20,-31.5341482,5,2023,45.6171198,-78.3440417,
CR5-M23-MUSS-30,-30.56888578,5,2023,45.6171198,-78.3440417,
CR1-M23-MF-1,-32.05273197,5,2023,45.630864,-78.3522056,
CR1-M23-MF-2,-31.88709482,5,2023,45.630864,-78.3522056,
CR1-M23-MF-P,-30.6271369,5,2023,45.630864,-78.3522056,
LK9-023-MUSS-1,-28.16987137,10,2023,45.631453,-78.371106,
LK9-023-MUSS-2,-27.92439777,10,2023,45.631453,-78.371106,
LK9-023-MUSS-3,-28.75775381,10,2023,45.631453,-78.371106,
LK9-023-MUSS-4,-28.41458836,10,2023,45.631453,-78.371106,
LK9-023-MUSS-40,-27.53282165,10,2023,45.631453,-78.371106,
LK9-023-MUSS-5,-28.25207871,10,2023,45.631453,-78.371106,
LK9-A23-MF-2,-25.25757526,8,2023,45.631453,-78.371106,
LK9-A23-Muss-1,-27.55830072,8,2023,45.631453,-78.371106,
LK9-A23-MUSS-2,-27.69883717,8,2023,45.631453,-78.371106,
LK9-A23-MUSS-3,-27.15734268,8,2023,45.631453,-78.371106,
LK9-A23-MUSS-4,-27.45610308,8,2023,45.631453,-78.371106,
LK9-A23-MUSS-5,-27.54307723,8,2023,45.631453,-78.371106,
LK9-M23-MUSS-1,-28.4961487,5,2023,45.631453,-78.371106,
LK9-M23-MUSS-2,-28.15788914,5,2023,45.631453,-78.371106,
LK9-M23-MUSS-3,-28.49451396,5,2023,45.631453,-78.371106,
LK9-M23-MUSS-4,-28.55327755,5,2023,45.631453,-78.371106,
LK9-M23-MUSS-5,-27.91126802,5,2023,45.631453,-78.371106,
LK9-M23-MUSS-6,-28.34307877,5,2023,45.631453,-78.371106,
LK9-M23-MUSS-7,-28.29587641,5,2023,45.631453,-78.371106,
LK1-023-CF-1,-27.69156541,10,2023,45.6355806,-78.3642278,
LK1-023-MF-1,-27.1169365,10,2023,45.6355806,-78.3642278,
LK1-023-MF-2,-27.8687346,10,2023,45.6355806,-78.3642278,
LK1-023-MF-3,-27.59766149,10,2023,45.6355806,-78.3642278,
LK1-023-MUSS-1,-28.21242706,10,2023,45.6355806,-78.3642278,
LK1-023-MUSS-2,-27.59904962,10,2023,45.6355806,-78.3642278,
LK1-023-MUSS-3,-28.90408782,10,2023,45.6355806,-78.3642278,
LK1-023-MUSS-4,-28.97978804,10,2023,45.6355806,-78.3642278,
LK1-A23-MF-4,-26.05617124,8,2023,45.6355806,-78.3642278,
LK1-A23-MF-5,-27.12893722,8,2023,45.6355806,-78.3642278,
LK1-A23-MF-6,-25.59068046,8,2023,45.6355806,-78.3642278,
LK1-A23-MF-7,-25.71991889,8,2023,45.6355806,-78.3642278,
LK1-A23-MUSS-1,-28.32603093,8,2023,45.6355806,-78.3642278,
LK1-A23-MUSS-10,-28.1936755,8,2023,45.6355806,-78.3642278,
LK1-A23-MUSS-2,-27.66985031,8,2023,45.6355806,-78.3642278,
LK1-A23-MUSS-3,-27.21613851,8,2023,45.6355806,-78.3642278,
LK1-A23-MUSS-4,-27.73349991,8,2023,45.6355806,-78.3642278,
LK1-A23-MUSS-5,-28.08638387,8,2023,45.6355806,-78.3642278,
LK1-A23-MUSS-6,-27.92816702,8,2023,45.6355806,-78.3642278,
LK1-A23-MUSS-7,-28.05753629,8,2023,45.6355806,-78.3642278,
LK1-A23-MUSS-8,-27.59962798,8,2023,45.6355806,-78.3642278,
LK1-A23-MUSS-9,-27.73601021,8,2023,45.6355806,-78.3642278,
LK1-A23-ODO-3,-25.50324692,8,2023,45.6355806,-78.3642278,
LK1-M23-MF-1,-26.88560827,5,2023,45.6355806,-78.3642278,
LK1-M23-MF-2,-27.22330813,5,2023,45.6355806,-78.3642278,
LK1-M23-MF-3,-26.85267462,5,2023,45.6355806,-78.3642278,
LK1-M23-MF-4,-26.05809837,5,2023,45.6355806,-78.3642278,
LK1-M23-MF-5,-27.28731672,5,2023,45.6355806,-78.3642278,
LK1-M23-MF-8,-26.37774395,5,2023,45.6355806,-78.3642278,
LK1-M23-MUSS-1,-28.49658929,5,2023,45.6355806,-78.3642278,
LK1-M23-MUSS-2,-28.13693034,5,2023,45.6355806,-78.3642278,
LK1-M23-MUSS-3,-28.38785414,5,2023,45.6355806,-78.3642278,
LK1-M23-MUSS-4,-28.07403704,5,2023,45.6355806,-78.3642278,
LK1-M23-MUSS-5,-28.11952259,5,2023,45.6355806,-78.3642278,
LK1-M23-MUSS-6,-28.65517644,5,2023,45.6360108,-78.3622056,
LK1-M23-SF-1,-28.43628594,5,2023,45.6360108,-78.3622056,
LK2-023-MF-1,-25.32128424,10,2023,45.6360108,-78.3622056,
LK2-023-MF-2,-26.71450692,10,2023,45.6360108,-78.3622056,
LK2-023-MUSS-1,-28.1984879,10,2023,45.6360108,-78.3622056,
LK2-A23-MF-3,-24.60909658,8,2023,45.6360108,-78.3622056,
LK2-M23-MF-5,-27.69993285,5,2023,45.6360108,-78.3622056,
LK2-M23-MF-P,-27.29528002,5,2023,45.6360108,-78.3622056,
LK2-M23-MUSS-1,-28.15400018,5,2023,45.6360108,-78.3622056,
LK2-M23-MUSS-3,-28.34741633,5,2023,45.6360108,-78.3622056,
LK2-M23-MUSS-4,-28.14915454,5,2023,45.6360108,-78.3622056,
LK2-M23-MUSS-5,-28.3473718,5,2023,45.6360108,-78.3622056,
LK2-M23-MUSS-6,-28.46944554,5,2023,45.6369889,-78.356925,
