location,site,species,id,number,fl,tl,wt,month,season,year
creek,downstream,blacknose shiner,,,55,63,2,august,summer,2024
creek,downstream,Blacknose Shiner,,1,61,68,2.5,may,spring,2023
creek,downstream,Blacknose Shiner,,1,63,69,2.6,may,spring,2023
creek,downstream,Blacknose Shiner,,1,60,67,1.7,may,spring,2023
creek,downstream,Blacknose Shiner,,1,65,61,1.9,may,spring,2023
creek,downstream,Blacknose Shiner,,1,60,67,0.9,may,spring,2023
creek,downstream,Blacknose Shiner,,1,58,64,1.3,may,spring,2023
creek,downstream,Blacknose Shiner,,1,60,66,2.1,may,spring,2023
creek,downstream,blacknose shiner,,1,60,67,1.6,october,fall,2024
creek,downstream,blacknose shiner,,1,58,64,1.6,october,fall,2024
creek,downstream,blacknose shiner,,1,64,70,2.1,october,fall,2024
creek,upstream,blacknose shiner,,,59,67,2,august,summer,2024
creek,upstream,blacknose shiner,,1,57,63,2.2,october,fall,2024
creek,upstream,blacknose shiner,,1,60,66,2.1,october,fall,2024
creek,upstream,blacknose shiner,,1,54,58,,october,fall,2024
creek,upstream,blacknose shiner,,1,60,67,2,october,fall,2024
lake,EF3,bluntnose minnow,EF3_A22_20,1,83,90,6.4,august,summer,2022
creek,downstream,bluntnose minnow,,1,66,73,2.9,april,spring,2024
creek,downstream,bluntnose minnow,,1,66,73,2.9,april,spring,2024
creek,downstream,bluntnose minnow,FN-M23-BNM-1,1,65,72,3,may,spring,2023
creek,downstream,bluntnose minnow,FN-M23-BNM-2,1,,,,may,spring,2023
lake,EF3-22-414,bluntnose minnow,,1,92,96,8,may,spring,2022
lake,OP10,bluntnose minnow,,1,89,94,6.4,october,fall,2022
lake,OP10-22-286,bluntnose minnow,,1,85,,NA,may,spring,2022
lake,OP10-22-352,bluntnose minnow,,1,115,121,9,may,spring,2022
lake,OP10-22-353,bluntnose minnow,,1,83,87,4,may,spring,2022
lake,OP10-22-354,bluntnose minnow,,6,90,95,47,may,spring,2022
lake,OP11,bluntnose minnow,,1,85,92,6.7,october,fall,2022
lake,OP11-22-343,bluntnose minnow,,1,79,86,3,may,spring,2022
lake,OP11-22-344,bluntnose minnow,,1,69,73,3,may,spring,2022
lake,OP11-22-345,bluntnose minnow,,1,96,100,4,may,spring,2022
lake,OP11-22-346,bluntnose minnow,,25,94,96,66,may,spring,2022
lake,OP11-22-380,bluntnose minnow,,1,65,83,NA,may,spring,2022
lake,OP12-22-325,bluntnose minnow,,1,90,94,7,may,spring,2022
lake,OP2-22-127,bluntnose minnow,,1,85,93,8,may,spring,2022
lake,OP4-22-02,bluntnose minnow,,1,NA,NA,7,may,spring,2022
lake,OP4-22-299,bluntnose minnow,,1,72,76,3,may,spring,2022
lake,OP4-22-301,bluntnose minnow,,1,89,96,8,may,spring,2022
lake,OP4-22-304,bluntnose minnow,,1,85,93,6,may,spring,2022
lake,OP4-22-308,bluntnose minnow,,1,91,99,6,may,spring,2022
lake,OP4-22-309,bluntnose minnow,,1,89,94,7,may,spring,2022
lake,OP5-22-136,bluntnose minnow,,1,99,105,10,may,spring,2022
lake,OP5-22-137,bluntnose minnow,,1,91,93,8,may,spring,2022
lake,OP5-22-138,bluntnose minnow,,1,81,89,6,may,spring,2022
lake,OP5-22-139,bluntnose minnow,,1,91,97,7,may,spring,2022
lake,OP5-22-140,bluntnose minnow,,1,87,93,7,may,spring,2022
lake,OP5-22-141,bluntnose minnow,,1,91,98,8,may,spring,2022
lake,OP5-22-142,bluntnose minnow,,1,89,96,7,may,spring,2022
lake,OP5-22-143,bluntnose minnow,,1,85,91,7,may,spring,2022
lake,OP5-22-22,bluntnose minnow,,1,87,95,8,may,spring,2022
lake,OP5-22-24,bluntnose minnow,,1,86,93,6,may,spring,2022
lake,OP5-22-25,bluntnose minnow,,1,89,97,4,may,spring,2022
lake,OP5-22-26,bluntnose minnow,,1,95,99,8,may,spring,2022
lake,OP5-22-27,bluntnose minnow,,1,83,90,6,may,spring,2022
lake,OP5-22-28,bluntnose minnow,,1,88,93,8,may,spring,2022
lake,OP5-22-316,bluntnose minnow,,10,92,99,86 (9g),may,spring,2022
lake,OP5-22-359,bluntnose minnow,,1,90,96,9,may,spring,2022
lake,OP5-22-361,bluntnose minnow,,20,95,101,144,may,spring,2022
lake,OP5-22-362,bluntnose minnow,,1,92,95,13,may,spring,2022
lake,OP5-22-363,bluntnose minnow,,2,70,75,10,may,spring,2022
lake,OP6,bluntnose minnow,,1,86,90,5.1,october,fall,2022
lake,OP6,bluntnose minnow,,1,86,92,6.9,october,fall,2022
lake,OP6,bluntnose minnow,,1,86,90,5.1,october,fall,2022
lake,OP6,bluntnose minnow,,1,86,92,6.9,october,fall,2022
lake,OP6,bluntnose minnow,,1,93,100,7.5,october,fall,2022
lake,OP6,bluntnose minnow,,1,91,98,7.2,october,fall,2022
lake,OP6,bluntnose minnow,,1,89,95,6.9,october,fall,2022
lake,OP6,bluntnose minnow,,1,89,94,6.4,october,fall,2022
lake,OP6,bluntnose minnow,,1,85,92,6.7,october,fall,2022
