Transmitter,serial_number,fish_name,fl,tl,wt,release_site,release_location,release_date,time_surgery,time_under_anaesthesia,tag_general,tag_lifespan,min_ping,max_ping,tag_family,step1_status,step1_time,step2_status,step2_time,step3_status,step3_time
A69-1604-34906,1594950,Anastasia,143,157,35.2,CR1,creek,04/23/2024,3 mins,60s,Spring 2024,62,80,160,V6-2x-BLU-1,ON,62 00:00:00,OFF,0 00:00:00,OFF,0 00:00:00
A69-1604-34907,1594951,Cashew,135,147,33,CR1,creek,04/23/2024,3 mins,60s,Spring 2024,62,80,160,V6-2x-BLU-1,ON,62 00:00:00,OFF,0 00:00:00,OFF,0 00:00:00
A69-1604-37703,1594959,Lisa,142,157,36.3,CR1,creek,04/23/2024,3 mins,60s,Summer 2024,116,80,160,V6-2x-BLU-1,OFF,62 00:00:00,ON,54 00:00:00,OFF,0 00:00:00
A69-1604-37704,1594960,Blueberry,143,158,35.9,CR1,creek,04/23/2024,3 mins,60s,Summer 2024,116,80,160,V6-2x-BLU-1,OFF,62 00:00:00,ON,54 00:00:00,OFF,0 00:00:00
A69-1604-37705,1594961,Rainbow,152,163,41.8,CR1,creek,04/23/2024,3 mins,60s,Summer 2024,116,80,160,V6-2x-BLU-1,OFF,62 00:00:00,ON,54 00:00:00,OFF,0 00:00:00
A69-1604-42348,1617107,Martha,153,164,45.9,CR1,creek,10/17/2024,3 mins,180s,Winter 204/2025,121,130,230,V6-2x-BLU-1,OFF,40 00:00:00,ON,81 00:00:00,OFF,0 00:00:00
A69-1604-42349,1617108,Snoop,135,150,29.1,CR1,creek,10/17/2024,4 mins,120s,Winter 204/2025,121,130,230,V6-2x-BLU-1,OFF,40 00:00:00,ON,81 00:00:00,OFF,0 00:00:00
A69-1604-42352,1617111,Boomslang,135,147,27.4,CR1,creek,10/18/2024,3 mins,180s,Winter 204/2025,121,130,230,V6-2x-BLU-1,OFF,40 00:00:00,ON,81 00:00:00,OFF,0 00:00:00
A69-1604-42353,1617112,Justin Timbercreek,132,147,29.2,CR1,creek,10/18/2024,3 mins,180s,Winter 204/2025,121,130,230,V6-2x-BLU-1,OFF,40 00:00:00,ON,81 00:00:00,OFF,0 00:00:00
A69-1604-34903,1594947,Albert,146,159,36.6,CR4,creek,04/24/2024,5 mins,130s,Spring 2024,62,80,160,V6-2x-BLU-1,ON,62 00:00:00,OFF,0 00:00:00,OFF,0 00:00:00
A69-1604-34904,1594948,Aretha ,149,162,40.9,CR4,creek,04/24/2024,3 mins,120s,Spring 2024,62,80,160,V6-2x-BLU-1,ON,62 00:00:00,OFF,0 00:00:00,OFF,0 00:00:00
A69-1604-37701,1594957,Angel,137,151,33.3,CR4,creek,04/24/2024,3 mins,120s,Summer 2024,116,80,160,V6-2x-BLU-1,OFF,62 00:00:00,ON,54 00:00:00,OFF,0 00:00:00
A69-1604-37702,1594958,Amber,159,174,50.3,CR4,creek,04/24/2024,3 mins,120s,Summer 2024,116,80,160,V6-2x-BLU-1,OFF,62 00:00:00,ON,54 00:00:00,OFF,0 00:00:00
